text,type,cost,rarity,set,id,name,playRequirements/REQ_TARGET_TO_PLAY,durability,attack,playerClass,flavor,collectible,artist,howToEarnGolden,howToEarn,dust/0,dust/1,dust/2,dust/3,mechanics/0,race,health,textInPlay,playRequirements/REQ_MINION_TARGET,mechanics/1,entourage/0,entourage/1,entourage/2,entourage/3,faction,spellDamage,playRequirements/REQ_NUM_MINION_SLOTS,playRequirements/REQ_TARGET_MIN_ATTACK,entourage/4,entourage/5,entourage/6,targetingArrowText,mechanics/2,playRequirements/REQ_FRIENDLY_TARGET,playRequirements/REQ_NONSELF_TARGET,playRequirements/REQ_TARGET_IF_AVAILABLE,overload,playRequirements/REQ_ENEMY_TARGET,playRequirements/REQ_HERO_TARGET,playRequirements/REQ_TARGET_WITH_RACE,playRequirements/REQ_MINIMUM_ENEMY_MINIONS,playRequirements/REQ_DAMAGED_TARGET,playRequirements/REQ_WEAPON_EQUIPPED,playRequirements/REQ_TARGET_FOR_COMBO,playRequirements/REQ_ENEMY_WEAPON_EQUIPPED,playRequirements/REQ_FRIENDLY_MINION_DIED_THIS_GAME,playRequirements/REQ_MUST_TARGET_TAUNTER,entourage/7,entourage/8,entourage/9,entourage/10,entourage/11,entourage/12,entourage/13,entourage/14,entourage/15,entourage/16,entourage/17,entourage/18,entourage/19,entourage/20,entourage/21,entourage/22,entourage/23,entourage/24,entourage/25,entourage/26,entourage/27,entourage/28,entourage/29,entourage/30,entourage/31,entourage/32,entourage/33,entourage/34,entourage/35,entourage/36,entourage/37,entourage/38,entourage/39,entourage/40,entourage/41,entourage/42,entourage/43,entourage/44,entourage/45,entourage/46,entourage/47,entourage/48,entourage/49,entourage/50,entourage/51,entourage/52,entourage/53,entourage/54,entourage/55,entourage/56,entourage/57,entourage/58,entourage/59,playRequirements/REQ_STEADY_SHOT,playRequirements/REQ_MINIMUM_TOTAL_MINIONS,playRequirements/REQ_UNDAMAGED_TARGET,playRequirements/REQ_ENTIRE_ENTOURAGE_NOT_IN_PLAY,playRequirements/REQ_LEGENDARY_TARGET,playRequirements/REQ_TARGET_MAX_ATTACK,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND,playRequirements/REQ_MINION_OR_ENEMY_HERO,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS,mechanics/3,playRequirements/REQ_MINION_CAP_IF_TARGET_AVAILABLE
"<b>Stealth</b>
50% chance to attack the wrong enemy.",MINION,5,RARE,GVG,GVG_088,Ogre Ninja,,,6,ROGUE,"He didn't have the grades to get into ninja school, but his dad pulled some strings.",true,Samwise,,,100,800,20,100,STEALTH,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Hero Power</b>
Summon a 3/1 Nerubian.",HERO_POWER,2,,NAXX,NAX1_04,Skitter,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENCHANTMENT,,,TB,TB_RMC_001,TB_EnchRandomManaCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whenever your opponent casts a spell, gain +2/+2.",MINION,2,,BRM,BRMA12_8t,Chromatic Dragonkin,,,2,,,,,,,,,,,,DRAGON,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Summon 1/1 Whelps until your side of the battlefield is full.,MINION,9,LEGENDARY,EXPERT1,EX1_562,Onyxia,,,8,,Onyxia long manipulated the Stormwind Court by disguising herself as Lady Katrana Prestor.   You would have thought that the giant wings and scales would have been a giveaway.,true,Dany Orizio,,,1600,3200,400,1600,BATTLECRY,DRAGON,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summon two 2/2 Treants with <b>Taunt</b>.,SPELL,0,,EXPERT1,EX1_573b,Shan'do's Lesson,,,,DRUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+1/+1 and <b>Stealth</b>,SPELL,0,COMMON,TGT,AT_042b,Panther Form,,,,DRUID,,,,,,40,400,5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At the start of your turn, deal 1 damage to all other minions.",MINION,1,LEGENDARY,BRM,BRMA14_5,Toxitron,,,3,,,,,,,,,,,,MECHANICAL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Transform a friendly minion into a random minion with the same Cost.,MINION,2,EPIC,GVG,GVG_108,Recombobulator,,,3,,For when you didn’t combobulate quite right the first time around.,true,Ben Olson,,,400,1600,100,400,BATTLECRY,,2,,0,,,,,,,,,,,,,Transform!,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Taunt</b>,MINION,8,COMMON,CORE,CS2_232,Ironbark Protector,,,8,DRUID,I <i>dare</i> you to attack Darnassus.,true,Dave Allsop,Unlocked at Level 49.,Unlocked at Level 10.,,,,,TAUNT,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Destroy a minion.
Add a random minion to your opponent's hand.",SPELL,3,EPIC,TGT,AT_044,Mulch,0,,,DRUID,Is this a noun or a verb?  We will never know.,true,Dan Scott,,,400,1600,100,400,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can only be played on a mobile device.,MINION,3,LEGENDARY,CREDITS,CRED_34,Max Ma,,,6,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Increased Durability.,ENCHANTMENT,,,EXPERT1,EX1_536e,Upgraded,,,,HUNTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+3/+3.,ENCHANTMENT,,,EXPERT1,CS2_104e,Rampage,,,,WARRIOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Increased Attack.,ENCHANTMENT,,,GVG,GVG_046e,The King,,,,HUNTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+4 Attack this turn.,ENCHANTMENT,,,CORE,CS2_105e,Heroic Strike,,,,WARRIOR,,,,,,,,,,TAG_ONE_TURN_EFFECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your other minions have +3 Attack and <b>Charge</b>.,MINION,5,LEGENDARY,CREDITS,CRED_14,Yong Woo,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Choose One -</b> Give each player a Mana Crystal; or Each player draws a card.,MINION,3,RARE,GVG,GVG_032,Grove Tender,,,2,DRUID,Likes: Hiking and the great outdoors. Dislikes: Goblin shredders and sandals. (Can’t find any that fit!).,true,Chris Rahn,,,100,800,20,100,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return a minion to its owner's hand.,SPELL,0,COMMON,CHEAT,XXX_012,Bounce,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Somehow, the card you USED to have has been deleted.  Here, have this one instead!",SPELL,2,,CORE,GAME_006,NOOOOOOOOOOOO,,,,,Even your flavor text has been deleted. Dang.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whenever a <b>Secret</b> is played, gain +1/+1.",MINION,1,RARE,EXPERT1,EX1_080,Secretkeeper,,,1,,She promises not to tell anyone about that thing you did last night with that one person.,true,Gonzalo Ordonez,,,100,800,20,100,,,2,,,,,,,,ALLIANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summon 5 Wisps.,SPELL,0,,GVG,GVG_041b,Dark Wispers,,,,DRUID,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Hero Power</b>
Deal $2 damage to the enemy hero.",HERO_POWER,2,FREE,HERO_SKINS,DS1h_292_H1,Steady Shot,,,,HUNTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Summon a random Horde Warrior.,SPELL,4,,PROMO,PRO_001c,Power of the Horde,,,,,,,,,,,,,,,,,,,,CS2_121,EX1_021,EX1_023,EX1_110,,,1,,EX1_390,CS2_179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Each turn, if you have less health then a your opponent, summon a free minion",ENCHANTMENT,,,TB,TBUD_1,TBUD Summon Early Minion,,,,,,,,,,,,,,,,,,,,CS1_042,CS2_171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deal $8 damage to the enemy hero, and <b>Freeze</b> it.",SPELL,5,,NAXX,NAX14_04,Pure Cold,,,,,,,,,,,,,,FREEZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HERO,,,BRM,BRMA13_1H,Lord Victor Nefarius,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Taunt</b>,MINION,0,COMMON,CORE,hexfrog,Frog,,,0,,,,,,,,,,,TAUNT,BEAST,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Was hiding in a barrel!,MINION,2,COMMON,MISSIONS,TU4c_005,Hidden Gnome,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HERO,,,NAXX,NAX8_01,Gothik the Harvester,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack changed to 1.,ENCHANTMENT,,,TGT,AT_081e,Purified,,,,PALADIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give target Hero +5 Armor,SPELL,0,,CHEAT,XXX_062,Armor 5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Hero Power</b>
Activate Arcanotron!",HERO_POWER,2,,BRM,BRMA14_2,Activate Arcanotron,,,,,,,,,,,,,,AI_MUST_PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Hero Power</b>
Deal 1 damage to all enemy minions. If any die, summon a slime.",HERO_POWER,2,,TB,NAX11_02H_2_TB,Poison Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Secret:</b> When a friendly minion dies, put 2 copies of it into your hand.",SPELL,3,COMMON,NAXX,FP1_018,Duplicate,,,,MAGE,The one time when duping cards won't get your account banned!,true,Alex Garner,Can be crafted after completing the Mage Class Challenge in Naxxramas.,Unlocked by completing the Mage Class Challenge in Naxxramas.,,,,,SECRET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give your weapon +2 Attack.,SPELL,1,FREE,CORE,CS2_074,Deadly Poison,,,,ROGUE,"Rogues guard the secrets to poison-making carefully, lest magi start incorporating poison into their spells.  Poisonbolt? Rain of Poison?  Poison Elemental?  Nobody wants that.",true,Trevor Jacobs,Unlocked at Level 43.,Unlocked at Level 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whenever <b>you</b> target this minion with a spell, gain <b>Divine Shield.</b>",MINION,3,LEGENDARY,TGT,AT_129,Fjola Lightbane,,,3,,"LOVES being called ""the wonder twins"".",true,Mark Zug,,,1600,3200,400,1600,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Gain 1-4 Attack. <b>Overload:</b> (1),MINION,4,COMMON,BRM,BRM_012,Fireguard Destroyer,,,3,SHAMAN,"Ragnaros interviews hundreds of Fire Elementals for the position of ""Destroyer"" but very few have what it takes.",true,Paul Mafayon,Can be crafted after defeating Lord Victor Nefarius in Blackwing Lair.,Unlocked by defeating Lord Victor Nefarius in Blackwing Lair.,,,,,BATTLECRY,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Hero Power</b>
Summon a 1/1 Spectator with <b>Taunt</b>.",HERO_POWER,0,,BRM,BRMA02_2H,Jeering Crowd,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swap a minion's Attack and Health.,SPELL,1,,TB,TB_007,Deviate Banana,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Gain Attack equal to the Attack of your weapon.,MINION,2,COMMON,EXPERT1,NEW1_018,Bloodsail Raider,,,2,,"""I only plunder on days that end in 'y'.""",true,Jim Nelson,,,40,400,5,50,BATTLECRY,PIRATE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"While this is in your hand, whenever Chromaggus draws a card, he gets another copy of it.",SPELL,3,,BRM,BRMA12_6H,Brood Affliction: Black,,,,,,,,,,,,,,EVIL_GLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Summon a 1/1 Boar.,MINION,3,COMMON,CORE,CS2_196,Razorfen Hunter,,,2,,Someone did mess with Tuskerr once.  ONCE.,true,Clint Langley,Unlocked at Hunter Level 55.,,,,,,BATTLECRY,,3,,,,,,,,HORDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your other minions have +1 Attack.,MINION,3,FREE,CORE,CS2_122,Raid Leader,,,2,,"""That's a 50 DKP minus!""",true,Phill Gonzales,Unlocked at Warrior Level 57.,,,,,,AURA,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal $3 damage to a minion.,SPELL,0,,EXPERT1,EX1_154a,Wrath,0,,,DRUID,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Windfury</b>,MINION,2,,TB,BRMC_89,Whirling Ash,,,4,,,,,,,,,,,WINDFURY,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deal $3 damage. If you have a Beast, deal $5 damage instead.",SPELL,3,COMMON,CORE,EX1_539,Kill Command,0,,,HUNTER,"""Kill!"", he commanded.",true,Gabe from Penny Arcade,Unlocked at Level 49.,Unlocked at Level 10.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Deal 4 damage to HIMSELF.,MINION,3,RARE,EXPERT1,CS2_181,Injured Blademaster,,,4,,"He claims it is an old war wound, but we think he just cut himself shaving.",true,Samwise,,,100,800,20,100,BATTLECRY,,7,Weakened,,,,,,,HORDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Can't be <b>Silenced. Divine Shield, Stealth.</b>",MINION,1,LEGENDARY,CREDITS,CRED_15,Andy Brock,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Hero Power</b>
Activate a random Tron.",HERO_POWER,2,,TB,BRMA14_10H_TB,Activate!,,,,,,,,,,,,,,,,,,,,BRMA14_3,BRMA14_5,BRMA14_7,BRMA14_9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Increased stats.,ENCHANTMENT,,,CORE,CS2_226e,Frostwolf Banner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enchant a minion with an empty enchant.,SPELL,0,COMMON,CHEAT,XXX_009,Enchant,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your cards cost (3) less.,MINION,6,LEGENDARY,TB,BRMC_97,Vaelastrasz,,,7,,,,,,,,,,,,DRAGON,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal $5 damage to a minion and $2 damage to adjacent ones.,SPELL,5,RARE,EXPERT1,EX1_537,Explosive Shot,0,,,HUNTER,"Pull the pin, count to 5, then shoot.  Then duck.",true,Tom Baxa,,,100,800,20,100,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Deathrattle</b>: Deal 1-4 damage to a random enemy.,MINION,1,,GVG,GVG_110t,Boom Bot,,,1,,,,,,,,,,,DEATHRATTLE,MECHANICAL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Freeze</b> any character damaged by this minion.,MINION,4,COMMON,CORE,CS2_033,Water Elemental,,,3,MAGE,Don't summon a water elemental at a party.  It'll dampen the mood.,true,John Avon,Unlocked at Level 49.,Unlocked at Level 8.,,,,,FREEZE,,6,Frostbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Hero Power</b>
Equip a 1/2 Dagger.",HERO_POWER,2,FREE,CORE,CS2_083b,Dagger Mastery,,,,ROGUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double a minion's Health.,SPELL,2,COMMON,CORE,CS2_236,Divine Spirit,0,,,PRIEST,Double the trouble. Double the fun!,true,Jim Pavelec,Unlocked at Level 28.,Unlocked at Level 2.,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Restore 3 Health.,MINION,3,COMMON,EXPERT1,CS2_117,Earthen Ring Farseer,,,3,,"He can see really far, and he doesn't use a telescope like those filthy pirates.",true,Alex Horley Orlandelli,,,40,400,5,50,BATTLECRY,,3,,,,,,,,,,,,,,,Restore 3 Health.,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shuffle 3 Ambushes into your opponent's deck. When drawn, you summon a 4/4 Nerubian.",SPELL,3,EPIC,TGT,AT_035,Beneath the Grounds,,,,ROGUE,Can you hold these eggs for just a second?  I promise they're not full of giant enraged undead spider things.,true,Daren Bader,,,400,1600,100,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Taunt.</b> Costs (1) less per Attack of your weapon.,MINION,4,COMMON,EXPERT1,NEW1_022,Dread Corsair,,,3,,"""Yarrrr"" is a pirate word that means ""Greetings, milord.""",true,Trent Kaniuga,,,40,400,5,50,TAUNT,PIRATE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals double damage to heroes.,WEAPON,3,,NAXX,NAX7_04,Massive Runeblade,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Secret:</b> When your hero takes damage, deal that much damage to the enemy hero.",SPELL,1,COMMON,EXPERT1,EX1_132,Eye for an Eye,,,,PALADIN,Justice sometimes takes the form of a closed fist into a soft cheek.,true,James Ryman,,,40,400,5,50,SECRET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costs (1) less for each time you used your Hero Power this game.,MINION,10,EPIC,TGT,AT_120,Frost Giant,,,8,,Don't ask him about the beard.  JUST DON'T.,true,Greg Staples,,,400,1600,100,400,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Choose One</b> - Transform into a 5/2 minion; or a 2/5 minion.,MINION,3,COMMON,BRM,BRM_010,Druid of the Flame,,,2,DRUID,Druids who fought too long in Northrend were easily seduced by Ragnaros; a mug of hot chocolate was generally all it took.,true,Stanley Lau,Can be crafted after defeating Garr in Molten Core.,Unlocked by defeating Garr in Molten Core.,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HERO,,,BRM,BRMA05_1,Baron Geddon,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Increased Attack.,ENCHANTMENT,,,BRM,BRMA16_5e,I hear you...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
